url_id,url,url_length,has_ip_address,has_at_symbol,num_subdomains,num_hyphens,num_digits,uses_https,suspicious_https_token,is_shortened_url,domain_age_days,has_suspicious_keyword,ssl_certificate_valid,redirect_count,external_favicon,anchor_mismatch_ratio,label
URL-000697,https://shinhanbank.com/,21,0,0,1,0,3,1,0,0,2106,1,1,1,0,0.07,legitimate
URL-000668,https://nonghyup.com/,30,0,0,0,1,2,1,0,0,2538,0,1,0,0,0.1,legitimate
URL-000064,https://secure-page737.tk/,53,1,0,4,2,7,1,0,0,58,1,0,2,0,0.68,phishing
URL-000534,https://kbstar.com/,30,0,0,0,1,0,1,0,0,3279,0,1,0,0,0.13,legitimate
URL-000067,http://login-page165.top/,71,0,0,2,1,5,0,0,0,7,1,1,0,1,0.32,phishing
URL-000622,https://hanabank.com/,37,0,1,0,1,2,1,0,0,2443,0,1,0,0,0.11,legitimate
URL-000347,https://kbstar.com/,40,0,0,1,0,0,1,0,0,2446,0,1,0,0,0.09,legitimate
URL-000491,https://nonghyup.com/,42,0,0,1,1,0,1,0,0,2507,0,1,1,0,0.08,legitimate
URL-000761,https://nonghyup.com/,21,0,0,1,0,2,1,0,0,946,1,1,1,0,0.02,legitimate
URL-000457,https://kbstar.com/,21,0,0,1,1,0,1,0,0,3150,0,1,0,0,0.11,legitimate
URL-000066,https://verify-page495.ml/,62,0,0,2,3,10,1,0,1,57,1,0,0,0,0.64,phishing
URL-000287,http://confirm-page191.gq/,70,0,0,3,3,10,0,0,0,81,1,0,4,0,0.73,phishing
URL-000636,https://shinhanbank.com/,49,0,0,1,1,2,1,0,0,2761,0,1,1,0,0.14,legitimate
URL-000068,http://secure-secure59.tk/,92,0,0,4,5,6,0,1,0,35,0,0,4,0,0.52,phishing
URL-000328,https://wooribank.com/,24,0,0,0,1,3,1,0,0,2166,0,1,0,0,0.1,legitimate
URL-000396,https://wooribank.com/,22,0,0,0,1,0,1,0,0,3571,0,1,1,0,0.0,legitimate
URL-000245,http://bank-page231.click/,86,0,0,3,4,6,0,0,0,9,0,0,2,0,0.61,phishing
URL-000378,https://shinhanbank.com/,50,0,0,1,0,1,1,0,0,1373,0,1,0,0,0.12,legitimate
URL-000611,https://kbstar.com/,32,0,0,0,1,1,1,0,0,2019,0,1,0,0,0.01,legitimate
URL-000527,https://wooribank.com/,39,0,0,1,1,1,1,0,0,1997,0,1,1,1,0.14,legitimate
URL-000659,https://shinhanbank.com/,40,0,0,1,0,2,1,0,0,3141,0,1,0,0,0.04,legitimate
URL-000530,https://shinhanbank.com/,36,0,0,1,1,2,1,0,0,1813,0,1,1,0,0.08,legitimate
URL-000623,https://nonghyup.com/,27,0,0,0,0,3,1,0,0,2954,0,1,0,0,0.1,legitimate
URL-000722,https://nonghyup.com/,37,0,0,0,0,2,1,0,0,618,0,1,0,0,0.1,legitimate
URL-000361,https://hanabank.com/,35,0,0,0,0,1,1,0,0,3243,1,1,0,0,0.14,legitimate
URL-000031,http://login-secure79.click/,59,1,0,3,4,7,0,1,0,12,1,0,3,0,0.7,phishing
URL-000261,http://update-page510.tk/,60,1,0,1,1,10,0,0,0,69,1,0,0,1,0.43,phishing
URL-000638,https://shinhanbank.com/,13,0,0,0,1,0,1,0,0,3776,0,1,0,0,0.05,legitimate
URL-000747,https://shinhanbank.com/,22,1,0,1,0,0,1,0,0,1586,0,1,0,0,0.06,legitimate
URL-000571,https://wooribank.com/,56,0,0,0,1,3,1,0,0,1318,0,1,0,0,0.11,legitimate
URL-000216,https://login-page713.gq/,68,0,0,1,3,10,1,0,0,0,0,1,1,0,0.78,phishing
URL-000079,https://bank-page716.xyz/,84,0,0,2,3,3,1,0,0,18,0,0,2,1,0.51,phishing
URL-000579,https://wooribank.com/,13,0,0,1,0,3,1,0,0,1543,0,1,0,0,0.1,legitimate
URL-000384,http://kbstar.com/,28,0,0,0,0,0,0,0,0,1985,0,1,0,0,0.1,legitimate
URL-000040,http://bank-page535.ml/,54,0,0,1,5,10,0,0,0,128,0,0,0,1,0.62,phishing
URL-000024,https://login-page260.gq/,76,0,1,4,4,9,1,0,1,204,0,0,2,0,0.91,phishing
URL-000693,https://wooribank.com/,32,0,0,1,0,0,1,0,0,2304,0,1,1,0,0.12,legitimate
URL-000399,https://nonghyup.com/,45,0,0,0,1,0,1,0,0,2826,0,1,0,0,0.1,legitimate
URL-000797,https://shinhanbank.com/,47,0,0,0,0,2,1,0,0,2721,0,1,1,0,0.14,legitimate
URL-000742,https://shinhanbank.com/,26,0,0,1,1,0,1,0,0,3304,0,1,1,0,0.11,legitimate
URL-000140,http://bank-page942.top/,106,0,0,1,4,10,0,0,0,4,1,0,4,1,0.81,phishing
URL-000251,http://login-page506.ml/,86,1,1,3,4,4,0,0,0,26,1,0,1,1,0.51,phishing
URL-000175,http://verify-page618.top/,111,0,0,1,2,5,0,0,0,49,1,0,0,1,0.93,phishing
URL-000324,https://hanabank.com/,40,0,0,1,1,1,1,0,0,2392,0,1,0,0,0.09,legitimate
URL-000596,https://wooribank.com/,22,0,0,0,1,2,1,0,0,2649,1,1,1,0,0.15,legitimate
URL-000526,https://wooribank.com/,48,0,0,0,1,3,1,0,0,2536,0,1,1,0,0.04,legitimate
URL-000424,https://kbstar.com/,37,0,0,0,1,2,1,0,0,2561,0,1,1,0,0.07,legitimate
URL-000597,https://kbstar.com/,24,0,0,1,1,2,1,0,0,1301,0,1,1,0,0.08,legitimate
URL-000605,https://wooribank.com/,21,0,0,0,0,1,1,0,0,2941,0,1,1,0,0.02,legitimate
URL-000535,https://hanabank.com/,32,0,0,0,0,0,1,0,0,2263,0,0,0,0,0.14,legitimate
URL-000266,http://account-page417.tk/,85,0,0,1,3,5,0,0,0,20,1,1,0,1,0.95,phishing
URL-000110,https://confirm-page913.xyz/,58,0,0,2,2,3,1,0,0,32,0,1,3,0,0.47,phishing
URL-000667,https://hanabank.com/,30,0,0,1,0,0,1,0,0,2616,0,0,1,0,0.09,legitimate
URL-000295,https://update-page214.top/,122,1,0,4,1,11,1,0,0,1,1,1,4,0,0.83,phishing
URL-000337,https://nonghyup.com/,43,0,0,0,0,3,1,0,0,2494,0,1,0,0,0.1,legitimate
URL-000369,https://hanabank.com/,24,0,0,1,0,3,1,0,0,2609,0,1,0,0,0.01,legitimate
URL-000447,https://hanabank.com/,18,0,0,0,0,1,1,0,0,3170,0,1,1,0,0.04,legitimate
URL-000334,https://kbstar.com/,31,0,0,0,1,0,1,0,0,2397,0,1,0,0,0.1,legitimate
URL-000199,https://verify-secure868.top/,91,1,1,2,5,5,1,1,0,33,1,0,0,1,0.93,phishing
URL-000169,http://secure-page975.ml/,66,0,0,4,3,5,0,0,0,118,1,0,3,1,0.48,phishing
URL-000482,https://nonghyup.com/,33,0,0,1,0,2,1,0,0,4147,0,1,0,0,0.06,legitimate
URL-000724,https://kbstar.com/,29,0,0,0,0,0,1,0,0,2261,0,1,0,0,0.02,legitimate
URL-000656,https://kbstar.com/,28,0,0,0,1,3,1,0,1,3340,0,1,0,0,0.14,legitimate
URL-000307,http://verify-page102.ml/,76,0,1,3,5,9,0,0,0,1,1,1,2,0,0.94,phishing
URL-000232,http://update-secure953.tk/,54,0,0,2,2,6,0,1,0,22,1,0,3,0,0.6,phishing
URL-000423,https://hanabank.com/,39,1,0,1,1,3,1,0,0,2008,0,1,1,0,0.13,legitimate
URL-000050,https://login-page253.ml/,64,0,0,4,1,7,1,0,0,29,1,1,4,1,0.33,phishing
URL-000788,https://nonghyup.com/,23,0,0,1,0,1,1,0,0,1417,0,1,0,0,0.11,legitimate
URL-000358,https://hanabank.com/,18,0,0,0,1,1,1,0,0,3297,0,1,1,0,0.13,legitimate
URL-000087,https://update-page473.tk/,60,1,1,1,1,6,1,0,0,75,1,0,3,1,0.56,phishing
URL-000546,https://wooribank.com/,38,0,0,0,1,1,1,0,0,2675,0,1,0,0,0.13,legitimate
URL-000193,https://login-page208.tk/,66,0,0,2,5,2,1,0,1,27,1,0,2,1,0.41,phishing
URL-000796,https://nonghyup.com/,29,0,0,1,1,2,1,0,0,1542,0,1,1,0,0.12,legitimate
URL-000034,https://account-secure655.click/,81,0,0,3,5,7,1,1,0,11,1,0,1,0,0.72,phishing
URL-000032,https://secure-secure308.click/,84,0,0,3,3,3,1,1,0,79,0,0,4,1,0.91,phishing
URL-000200,http://secure-page537.click/,84,0,0,3,2,3,0,0,0,131,1,0,1,0,0.4,phishing
URL-000366,https://shinhanbank.com/,36,0,0,1,1,3,1,0,0,2237,0,1,1,0,0.14,legitimate
URL-000487,https://shinhanbank.com/,52,0,0,1,0,1,1,0,0,2620,0,1,1,0,0.11,legitimate
URL-000595,https://kbstar.com/,27,0,0,1,1,0,1,0,0,3669,0,1,1,0,0.03,legitimate
URL-000569,https://shinhanbank.com/,34,0,0,0,1,0,1,0,0,2642,0,1,0,0,0.05,legitimate
URL-000429,https://kbstar.com/,29,0,0,1,0,0,1,1,0,216,0,1,0,0,0.04,legitimate
URL-000138,http://verify-page150.tk/,115,0,0,1,3,5,0,0,0,8,0,0,0,0,0.62,phishing
URL-000073,https://account-page770.click/,103,0,0,4,2,11,1,0,1,43,0,0,3,1,0.65,phishing
URL-000078,https://login-page104.ml/,77,0,1,2,4,10,1,0,0,41,0,0,0,0,0.64,phishing
URL-000513,https://kbstar.com/,43,0,0,0,0,3,1,0,0,2865,0,1,0,0,0.11,legitimate
